Street,City_State_ZipCode,Price,Bedrooms,Bathrooms,Size,Lot Size,TypePrice per Sqft,Year,Neighborhood,Time on Zillow,Views,Saves
"708 Crossway Rd,","Burlingame, CA 94010","$3,150,000",4,3,"2,508","6,534 sqft",Single Family,"$1,256",1925,Neighborhood: 94010,49 days,"2,241",39
"949 Laguna Ave,","Burlingame, CA 94010","$3,259,888",4,4,"2,788","5,749 sqft",Single Family,"$1,169",2019,Neighborhood: 94010,45 days,"1,318",23
"2240 Redington Rd,","Hillsborough, CA 94010","$5,200,000",3,4,"2,395",0.99 Acres,Single Family,"$2,171",1895,Neighborhood: 94010,44 days,"3,506",92
"415 El Centro Rd,","Hillsborough, CA 94010","$5,395,000",4,3,"2,912",0.31 Acres,Single Family,"$1,853",1937,Neighborhood: 94010,43 days,"1,135",14
"1425 Bernal Ave,","Burlingame, CA 94010","$4,399,000",5,4,"2,987","5,998 sqft",Single Family,"$1,473",2020,Neighborhood: 94010,33 days,"2,778",82
"110 Park Rd APT 309,","Burlingame, CA 94010","$1,600,000",2,3,"2,400","$1,104/mo",Condo,$667,1975,Neighborhood: 94010,30 days,"1,087",38
"1221 Bernal Ave,","Burlingame, CA 94010","$3,850,000",6,5,"3,540","5,998 sqft",Single Family,"$1,088",1923,Neighborhood: 94010,30 days,"3,119",75
"1444 El Camino Real APT 4,","Burlingame, CA 94010","$899,000",2,3,"1,375",$798/mo,Condo,$654,1987,Neighborhood: 94010,29 days,"2,268",45
"1457 Bellevue Ave APT 6,","Burlingame, CA 94010","$1,295,000",2,2,"1,500",$650/mo,Condo,$863,1984,Neighborhood: 94010,28 days,"1,283",36
"818 Anson Rd,","Burlingame, CA 94010","$1,599,800",3,3,"1,882",No Data,Townhouse,$850,2020,Neighborhood: 94010,28 days,"2,728",59
"230-234 Victoria Rd,","Burlingame, CA 94010","$2,899,999",6,3,"3,528",0.29 Acres,Single Family,$822,1947,Neighborhood: 94010,25 days,"1,246",19
"2921 Adeline Dr,","Burlingame, CA 94010","$2,750,000",2,3,"2,495","7,244 sqft",Single Family,"$1,102",1976,Neighborhood: Burlingame Hills,24 days,"2,865",80
"616 Ansel Rd APT 5,","Burlingame, CA 94010","$1,325,000",2,2,"1,390",$700/mo,Condo,$953,1981,Neighborhood: 94010,21 days,765,12
"1225 Oak Grove Ave APT 3,","Burlingame, CA 94010","$1,248,000",2,3,"1,560",$49/mo,Condo,$800,1978,Neighborhood: 94010,18 days,"1,241",43
"1033 Balboa Ave,","Burlingame, CA 94010","$3,750,000",5,4,"3,000","5,998 sqft",Single Family,"$1,250",2003,Neighborhood: 94010,15 days,"1,980",34
"Buildable plan: Residence B, The Residences at Anson,","Burlingame, CA 94010",from ,3,3,"1,880",No Data,Townhouse,$864,2020,Neighborhood: 94010,,,
"525 Almer Rd APT 308,","Burlingame, CA 94010","$1,095,000",2,2,"1,288",$633/mo,Condo,$850,1975,Neighborhood: 94010,14 days,584,13
"1124 Douglas Ave,","Burlingame, CA 94010","$3,600,000",--,--,"4,646","Garage, Garage - Attached, Off-street",Multiple Occupancy,$775,1904,Neighborhood: 94010,10 days,626,6
"1548 Westmoor Rd,","Burlingame, CA 94010","$1,649,000",2,2,"1,330","5,000 sqft",Single Family,"$1,240",1941,Neighborhood: 94010,9 days,"1,543",64
"Buildable plan: B1, 1493 Oak Grove,","Burlingame, CA 94010",from ,2,2,"1,125",No Data,Single Family,"$1,404",2020,Neighborhood: 94010,,,
"Buildable plan: Residence AR, The Residences at Anson,","Burlingame, CA 94010",from ,2,3,"1,491",No Data,Townhouse,"$1,009",2020,Neighborhood: 94010,,,
"1501 Alturas Dr,","Burlingame, CA 94010","$2,795,000",5,3,"2,550","8,659 sqft",Single Family,"$1,096",1955,Neighborhood: 94010,7 days,"1,449",64
"Floor plan: A, 1493 Oak Grove,","Burlingame, CA 94010",from ,1,1,620,$700/mo,Condo,"$1,505",2020,Neighborhood: 94010,,,
"1800 Trousdale Dr #502,","Burlingame, CA 94010","$1,590,000",2,2,"1,275",$535/mo,Condo,"$1,247",2015,Neighborhood: 94010,5 days,562,20
"808 El Camino Real APT B,","Burlingame, CA 94010","$1,490,000",3,3,"1,565",No Data,Townhouse,$952,2002,Neighborhood: 94010,4 days,829,25
"425 Pinehill Rd,","Hillsborough, CA 94010","$7,888,000",5,4,"4,060",2 Acres,Single Family,"$1,943",1953,Neighborhood: 94010,4 days,996,19
"Floor plan: B2, 1493 Oak Grove,","Burlingame, CA 94010",from ,2,2,"1,030",$700/mo,Condo,"$1,437",2020,Neighborhood: 94010,,,
"0 Paul Ave,","Brisbane, CA 94005","$125,000","5,009 Square Feet",,"5,009 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94005,271 days,"2,475",59
"3900 Bayshore Blvd,","Brisbane, CA 94005","$750,000",0.274 Acres,,0.274 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94005,119 days,578,3
"151 Cliff Swallow Ct,","Brisbane, CA 94005","$1,399,000",4,3,"2,718",$607/mo,Condo,$515,1999,Neighborhood: 94005,111 days,"1,008",21
"233 Mariposa St,","Brisbane, CA 94005","$838,000",2,1,"1,260","2,600 sqft",Single Family,$665,1932,Neighborhood: 94005,105 days,"2,068",36
"153 Fox Sparrow Ln,","Brisbane, CA 94005","$1,399,000",4,3,"2,718",0.38 Acres,Single Family,$515,1999,Neighborhood: 94005,100 days,529,2
"276 Sierra Point Rd,","Brisbane, CA 94005","$2,100,000",7,5,"3,500","6,242 sqft",Single Family,$600,1941,Neighborhood: 94005,79 days,"1,436",17
"433 Kings Rd,","Brisbane, CA 94005","$988,000",2,1,970,"2,988 sqft",Single Family,"$1,019",1971,Neighborhood: 94005,74 days,"1,671",55
"132 Red Hawk Ct,","Brisbane, CA 94005","$949,000",2,2,"1,413",$607/mo,Condo,$672,1999,Neighborhood: 94005,57 days,"1,085",34
"480 Klamath St,","Brisbane, CA 94005","$1,388,000",3,2,"2,178","5,000 sqft",Single Family,$637,1963,Neighborhood: 94005,49 days,"1,348",19
"324 Crescent Ct,","Brisbane, CA 94005","$835,000",2,2,"1,280",$549/mo,Condo,$652,1998,Neighborhood: 94005,44 days,"1,095",13
"45 Margaret Ave,","Brisbane, CA 94005","$1,625,000",3,2,"2,398","8,999 sqft",Single Family,$678,1965,Neighborhood: 94005,38 days,"1,696",67
"40 Solano St,","Brisbane, CA 94005","$998,000",2,1,720,"3,358 sqft",Single Family,"$1,386",1939,Neighborhood: 94005,38 days,"1,721",43
"43 Joy Ave APT D,","Brisbane, CA 94005","$688,000",2,1,880,$350/mo,Condo,$782,1976,Neighborhood: 94005,37 days,"2,007",46
"0 Alhambra Dr,","Belmont, CA 94002","$78,000","5,157 Square Feet",,"5,157 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: Cipriani,302 days,"2,172",38
"600 El Camino Real #215,","Belmont, CA 94002","$888,000",1,1,769,$322/mo,Condo,"$1,155",2019,Neighborhood: Central,,,
"1808 Fernwood Way,","Belmont, CA 94002","$1,705,983",3,2,"1,290","Underground/Basement, Garage - Attached, Covered",Single Family,"6,076 sqft",1955,Neighborhood: McDougal,150 days,"2,410",26
"300 Davey Glen Rd APT 3603,","Belmont, CA 94002","$675,000",1,1,725,$435/mo,Condo,$931,1965,Neighborhood: Central,134 days,565,30
"905 South Rd,","Belmont, CA 94002","$2,615,953",3,3.5,"2,563","Underground/Basement, Garage - Attached",Single Family,0.25 Acres,2017,Neighborhood: Central,131 days,836,3
"3300 Lower Lock Ave,","Belmont, CA 94002","$3,200,000",10.49 Acres,,10.49 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: Plateau-Skymont,127 days,667,17
"8 Talbryn Ln,","Belmont, CA 94002","$1,988,000",4,3,"2,630",0.26 Acres,Single Family,$756,1962,Neighborhood: Downtown,125 days,"4,701",111
"830 Gordon Ave,","Belmont, CA 94002","$1,649,000",--,--,"1,788","Carport, Garage - Attached, Covered",Multiple Occupancy,$922,1955,Neighborhood: Central,113 days,764,15
"1520 Folger Dr,","Belmont, CA 94002","$4,198,000",6,7,"4,640",1.19 Acres,Single Family,$905,1952,Neighborhood: Central,112 days,"1,966",30
"600 El Camino Real UNIT 303,","Belmont, CA 94002","$928,000",1,1,828,"Garage - Attached, Covered",Condo,"$1,121",2019,Neighborhood: Central,,,
"600 El Camino Real UNIT 305,","Belmont, CA 94002","$938,000",1,1,839,"Garage - Attached, Covered",Condo,"$1,118",2019,Neighborhood: Central,,,
"600 El Camino Real UNIT 203,","Belmont, CA 94002","$918,000",1,1,828,"Garage - Attached, Covered",Condo,"$1,109",2019,Neighborhood: Central,,,
"600 El Camino Real UNIT 315,","Belmont, CA 94002","$900,000",1,1,769,"Garage - Attached, Covered",Condo,"$1,170",2019,Neighborhood: Central,,,
"400 El Camino Real UNIT 203,","Belmont, CA 94002","$899,000",1,1,887,$462/mo,Condo,"$1,014",2019,Neighborhood: Central,99 days,415,10
"0 Longfellow Dr,","Belmont, CA 94002","$499,000","10,480 Square Feet",,"10,480 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: Cipriani,89 days,"1,046",21
"400 Davey Glen Rd APT 4721,","Belmont, CA 94002","$685,000",1,1,725,$478/mo,Condo,$945,1965,Neighborhood: Central,86 days,235,6
"0 Lower Lock Ave,","Belmont, CA 94002","$599,000",1.645 Acres,,1.645 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: Plateau-Skymont,52 days,"1,665",42
"300 Davey Glen Rd APT 3822,","Belmont, CA 94002","$549,000",1,1,755,$478/mo,Condo,$727,1965,Neighborhood: Central,49 days,"1,104",28
"2290 Ralston Ave,","Belmont, CA 94002","$4,200,000",5,6,"4,500",0.57 Acres,Single Family,$933,2020,Neighborhood: Cipriani,44 days,"1,845",19
"600 El Camino Real #205,","Belmont, CA 94002","$933,000",1,1,828,$324/mo,Condo,"$1,127",2019,Neighborhood: Central,,,
"500 Live Oak Way APT 504,","Belmont, CA 94002","$1,170,000",2,3,"1,409",$386/mo,Condo,$830,2005,Neighborhood: Western Hills,38 days,"2,629",57
"300 Davey Glen Rd APT 3529,","Belmont, CA 94002","$929,999",3,2,"1,404",$654/mo,Condo,$662,1965,Neighborhood: Central,28 days,--,--
"1261 Kedith St,","Belmont, CA 94002","$1,499,000",3,2,"1,552","Garage, Garage - Detached",Multiple Occupancy,$966,1949,Neighborhood: Homebire,24 days,"2,638",94
"539 Chesterton Ave,","Belmont, CA 94002","$1,790,000",3,2,"1,441","6,651 sqft",Single Family,"$1,242",1953,Neighborhood: Sterling Downs,10 days,"2,443",70
"Floor plan: A1, 600 El Camino,","Belmont, CA 94002",from ,1,1,769,"Garage - Attached, Covered",Condo,"$1,155",2020,Neighborhood: Central,,,
"Floor plan: A, 600 El Camino,","Belmont, CA 94002",from ,1,1,839,"Garage - Attached, Covered",Condo,"$1,094",2020,Neighborhood: Central,,,
"906 Chevy St,","Belmont, CA 94002","$1,295,000",2,1,970,"6,730 sqft",Single Family,"$1,335",1951,Neighborhood: Central,3 days,"1,713",103
"13 Parkridge Ct,","Belmont, CA 94002","$1,700,000",3,2,"1,690","4,700 sqft",Single Family,"$1,006",1978,Neighborhood: Western Hills,3 days,"1,369",74
"1518 Williams Ave,","Belmont, CA 94002","$1,750,000",3,2,"1,934","6,098 sqft",Single Family,$905,1958,Neighborhood: Central,1 day,567,35
"1125 Helen Dr,","Millbrae, CA 94030","$2,388,000",4,3,"2,600","7,405 sqft",Single Family,$918,1956,Neighborhood: 94030,58 days,"2,153",28
"204 Nimitz Ave,","Redwood City, CA 94061","$1,499,888",3,2,"1,260","5,100 sqft",Single Family,"$1,190",1946,Neighborhood: 94061,56 days,"2,434",51
"3515 Santiago St,","San Francisco, CA 94116","$1,455,165",--,2,"1,607",0 spaces,Single Family,"2,613 sqft",1961,Neighborhood: Outer Sunset,298 days,492,1
"50 Stanyan St,","San Francisco, CA 94118","$4,850,000",--,--,"7,836",Covered,Multiple Occupancy,$619,1962,Neighborhood: Lone Mountain,200 days,305,5
"250 Santa Paula Ave,","San Francisco, CA 94127","$2,875,000",5,6,"4,940","4,647 sqft",Single Family,$582,1926,Neighborhood: St. Francis Wood,530 days,"3,925",110
"1535 Monterey Blvd,","San Francisco, CA 94127","$2,168,105",4,2,"2,392",0 spaces,Single Family,"10,515 sqft",1941,Neighborhood: Balboa Terrace,302 days,"1,136",7
"161 Evelyn Way,","San Francisco, CA 94127","$1,368,770",2,1,"1,040",0 spaces,Single Family,"3,049 sqft",1930,Neighborhood: Miraloma Park,151 days,577,6
"341 San Fernando Way,","San Francisco, CA 94127","$2,080,000",5,4,"2,723","4,029 sqft",Single Family,$764,1927,Neighborhood: Balboa Terrace,139 days,"1,880",42
"151 Summit Way,","San Francisco, CA 94132","$1,475,000",3,3,"2,133","2,134 sqft",Single Family,$692,2016,Neighborhood: Parkmerced,216 days,"1,918",49
"763 University St,","San Francisco, CA 94134","$1,500,000",4,4,"3,161","2,996 sqft",Single Family,$475,1963,Neighborhood: Portola,438 days,779,20
"1000 3rd St UNIT 1102,","San Francisco, CA 94158","$2,998,000",3,2.5,"1,827","$1,093/mo",Condo,"$1,641",2018,Neighborhood: Mission Bay,317 days,415,13
"28 W 4th Ave,","San Mateo, CA 94402","$1,589,000",3,3,"2,500",$982/mo,Condo,$636,1920,Neighborhood: Baywood Knolls,178 days,"1,354",22
"1525 Day Ave #129,","San Mateo, CA 94403","$831,561",3,1.5,"1,054",0 spaces,Condo,$461/mo,1961,Neighborhood: Westshore,298 days,537,4
"1314 51st Ave,","Oakland, CA 94601","$569,000",3,1,714,"2,874 sqft",Single Family,$797,1927,Neighborhood: Melrose,2 days,380,4
"16 E Ridge Ct,","Danville, CA 94506","$4,688,800",5,6,"7,172",0.62 Acres,Single Family,$654,1989,Neighborhood: 94506,540 days,"2,345",48
"1027 White Gate Rd,","Alamo, CA 94507","$1,830,376",4,3.5,"2,883","Garage, Garage - Attached",Other,$42/mo,1973,Neighborhood: 94507,421 days,"1,206",4
"428 Park Ln,","Bethel Island, CA 94511","$88,000","8,973 Square Feet",,"8,973 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94511,1615 days,824,7
"402 W Piedmont Dr,","Mountain House, CA 95391","$789,000",4,3,"3,176","4,499 sqft",Single Family,$248,2008,Neighborhood: Mountain House,2 days,"1,445",26
"225 Farallones St,","San Francisco, CA 94112","$1,299,042",3,3,"1,430",0 spaces,Single Family,"4,356 sqft",1910,Neighborhood: Oceanview,341 days,241,1
"2865 Jackson St APT 2,","San Francisco, CA 94115","$1,979,396",3,2,"1,610",No Data,Condo,0 spaces,1923,Neighborhood: Pacific Heights,290 days,"1,285",6
"2469 Jackson St,","San Francisco, CA 94115","$1,370,344",2,1,"1,215",No Data,Condo,Garage - Attached,1912,Neighborhood: Pacific Heights,319 days,"1,025",8
"674-678 Haight St,","San Francisco, CA 94117","$2,990,000",--,--,"5,655",0 spaces,Multiple Occupancy,$529,1890,Neighborhood: Lower Haight,180 days,297,2
"501 Masonic Ave,","San Francisco, CA 94117","$2,550,000",4,--,"3,438",0 spaces,Multiple Occupancy,$742,1923,Neighborhood: Lone Mountain,158 days,301,3
"494 29th Ave,","San Francisco, CA 94121","$5,000,000",--,--,"9,240",Covered,Multiple Occupancy,$541,1924,Neighborhood: Outer Richmond,136 days,281,3
"2027-2029 Judah St,","San Francisco, CA 94122","$1,571,406",2,1,"1,794",0 spaces,Single Family,"2,500 sqft",1916,Neighborhood: Outer Sunset,299 days,506,1
"2165 Beach St APT 2,","San Francisco, CA 94123","$1,877,855",2,1,"1,648",0 spaces,Condo,$663/mo,1929,Neighborhood: Marina,260 days,715,1
"1135 Palou Ave,","San Francisco, CA 94124","$817,837",2,1,850,0 spaces,Single Family,"2,500 sqft",1941,Neighborhood: Hunters Point,108 days,197,0
"3225 Ingalls St,","San Francisco, CA 94124","$795,443",2,2,825,0 spaces,Single Family,"2,574 sqft",1908,Neighborhood: Bret Harte,108 days,685,14
"1169 Hollister Ave,","San Francisco, CA 94124","$818,839",3,1,"1,000",Garage,Single Family,"2,500 sqft",1929,Neighborhood: Bret Harte,236 days,316,1
"76 Venus St,","San Francisco, CA 94124","$946,816",--,1,"1,200",0 spaces,Single Family,"2,452 sqft",1941,Neighborhood: Silver Terrace,292 days,155,0
"1580-1582 Dolores St,","San Francisco, CA 94131","$1,870,335",--,2,"1,860",0 spaces,Single Family,"2,495 sqft",1930,Neighborhood: Noe Valley,351 days,222,0
"998 Corbett Ave,","San Francisco, CA 94131","$1,668,844",3,2,"1,177",Garage,Single Family,"1,846 sqft",1947,Neighborhood: Upper Market,172 days,753,2
"999 Green St APT 1501,","San Francisco, CA 94133","$1,960,133",--,2,"1,300",0 spaces,Condo,"$1,241/mo",1964,Neighborhood: Russian Hill,316 days,116,1
"1451 Mason St,","San Francisco, CA 94133","$4,900,000","5,771 Square Feet",,"5,771 Square Feet",No Data,Vacant Land,0 spaces,1900,Neighborhood: Russian Hill,225 days,261,0
"648 Pacific Ave,","San Francisco, CA 94133","$4,500,000",--,--,"15,039",0 spaces,Multiple Occupancy,$299,1911,Neighborhood: Chinatown,193 days,389,6
"929 S Norfolk St,","San Mateo, CA 94401","$1,254,228",3,2,"1,210","Garage, Garage - Attached",Single Family,"5,227 sqft",1950,Neighborhood: South Shoreview,101 days,103,1
"1303 Cobb St,","San Mateo, CA 94401","$1,077,108",3,1,"1,000","Garage, Garage - Attached",Single Family,"5,227 sqft",1953,Neighborhood: South Shoreview,282 days,952,7
"Shoreview Ave,","San Mateo, CA 94401","$1,479,000",2,1,"1,395","6,250 sqft",Single Family,"$1,060",1950,Neighborhood: South Shoreview,192 days,434,1
"925 Gull Ave,","Foster City, CA 94404","$1,704,928",3,2,"1,540","Garage, Garage - Attached",Single Family,"5,619 sqft",1966,Neighborhood: Birds,320 days,"1,363",6
"1088 Foster Square Ln #206-B14,","San Mateo, CA 94404","$1,247,880",2,2,"1,524",No Data,Townhouse,$819,2020,Neighborhood: Famous Ships,,,
"759 Eppleton Ln #203-B07,","San Mateo, CA 94404","$1,348,880",2,2,"1,740",Covered,Condo,$775,2020,Neighborhood: Famous Ships,,,
"4250 Driftwood Pl,","Discovery Bay, CA 94505","$1,080,284",3,4,"3,655",$135/mo,Single Family,"7,919 sqft",1990,Neighborhood: 94505,348 days,497,6
"5372 Gold Creek Cir,","Discovery Bay, CA 94505","$608,159",5,3,"2,583","Garage, Garage - Attached",Other,$173/mo,2005,Neighborhood: 94505,436 days,431,7
"8147 Westport Cir,","Discovery Bay, CA 94505","$746,508",4,--,"3,282",$173/mo,Single Family,"6,850 sqft",2014,Neighborhood: 94505,310 days,423,6
"306 Hillside Rd,","Antioch, CA 94509","$537,221",5,3.5,"2,122","Garage, Garage - Attached",Single Family,"8,040 sqft",1977,Neighborhood: 94509,348 days,490,7
"1097 Teal Ct,","Brentwood, CA 94513","$1,033,000",2,3,"4,409",0.43 Acres,Single Family,$234,2004,Neighborhood: 94513,2 days,373,13
"29 Kingwood Rd,","Oakland, CA 94619","$1,135,983",4,2.5,"2,009","Garage, Garage - Attached",Single Family,"5,227 sqft",1980,Neighborhood: Crestmont,123 days,950,8
"2538 Carisbrook Dr,","Oakland, CA 94611","$1,185,392",3,2,"1,815","Garage, Garage - Attached, Covered",Single Family,"6,163 sqft",1976,Neighborhood: Piedmont Pines,186 days,"6,572",124
"15 Samaria Ln,","Oakland, CA 94619","$1,406,568",4,3,"2,811","Garage, Garage - Attached",Single Family,"7,143 sqft",1990,Neighborhood: Crestmont,242 days,622,4
"0 Woodrow Dr,","Oakland, CA 94611","$129,000","5,357 Square Feet",,"5,357 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: Shepherd Canyon,198 days,197,4
"6640 Longwalk Dr,","Oakland, CA 94611","$249,000",0.347 Acres,,0.347 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: Piedmont Pines,195 days,73,1
"Woodrow Dr,","Oakland, CA 94611","$129,000","5,227 Square Feet",,"5,227 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: Shepherd Canyon,129 days,158,4
"Glencourt Dr,","Oakland, CA 94611","$299,999","6,716 Square Feet",,"6,716 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: Forestland,182 days,107,1
,"Oakland, CA 94611","$199,000",0.322 Acres,,0.322 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: Piedmont Pines,71 days,31,1
"75 Adobe Ln,","Orinda, CA 94563","$1,550,000",0.945 Acres,,0.945 Acres,$300/mo,Vacant Land,$375,No Data,Neighborhood: 94563,331 days,521,7
"116 Kirkwood Ave #3,","San Francisco, CA 94124","$856,866",4,3,"1,512",No Data,Condo,0 spaces,1981,Neighborhood: Hunters Point,277 days,357,1
"34 Gilroy St,","San Francisco, CA 94124","$1,121,524",3,2,"1,850",0 spaces,Single Family,"3,867 sqft",1982,Neighborhood: Bret Harte,333 days,251,0
"1485 Mckinnon Ave,","San Francisco, CA 94124","$990,034",--,2,"1,753",0 spaces,Single Family,"3,297 sqft",1900,Neighborhood: Bayview,274 days,119,0
"186 Maddux Ave,","San Francisco, CA 94124","$1,084,651",3,2,"1,725",0 spaces,Single Family,"2,186 sqft",1940,Neighborhood: Silver Terrace,212 days,290,1
"648 Thornton Ave,","San Francisco, CA 94124","$946,218",--,1,"1,200",0 spaces,Single Family,"2,125 sqft",1941,Neighborhood: Silver Terrace,345 days,182,0
,"Oakland, CA 94603","$199,000",0.365 Acres,,0.365 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: Piedmont Pines,71 days,30,1
"0 Aitken Dr,","Oakland, CA 94603","$195,000","5,593 Square Feet",,"5,593 Square Feet",0 spaces,Vacant Land,$54,No Data,Neighborhood: Piedmont Pines,970 days,123,2
"0 Longwalk Dr,","Oakland, CA 94611","$249,000",0.393 Acres,,0.393 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: Piedmont Pines,195 days,194,0
"7243 Thorndale Dr,","Oakland, CA 94611","$157,500",0.318 Acres,,0.318 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: Forestland,212 days,234,2
"6638 Longwalk Dr,","Oakland, CA 94611","$299,000",0.434 Acres,,0.434 Acres,"Garage, Garage - Attached",Vacant Land,$100,1994,Neighborhood: Piedmont Pines,195 days,401,5
"Arrowhead Dr,","Oakland, CA 94611","$250,000",0.303 Acres,,0.303 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: Shepherd Canyon,69 days,237,0
"6055 Girvin Dr,","Oakland, CA 94611","$179,000","7,117 Square Feet",,"7,117 Square Feet",0 spaces,Vacant Land,$25,No Data,Neighborhood: Piedmont Pines,336 days,153,2
"1940 Arrowhead Dr,","Oakland, CA 94611","$224,000","8,097 Square Feet",,"8,097 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: Forestland,288 days,235,2
"6478 Girvin Dr,","Oakland, CA 94611","$149,000",0.307 Acres,,0.307 Acres,0 spaces,Vacant Land,$11,No Data,Neighborhood: Piedmont Pines,382 days,248,2
"6050 Balboa Dr,","Oakland, CA 94611","$169,000","5,048 Square Feet",,"5,048 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: Montclair,107 days,281,4
"102 Wallace Cir,","Moraga, CA 94556","$1,109,200",4,3,"1,932",No Data,Single Family,$574,2020,Neighborhood: 94556,,,
"20 Technology Way,","Brentwood, CA 94513","$319,000",0.562 Acres,,0.562 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94513,523 days,386,4
"160 Sunrise Dr,","Brentwood, CA 94513","$1,099,000",2,1,784,0.60 Acres,Single Family,"$1,402",1950,Neighborhood: 94513,110 days,333,3
"1490 Santorini St,","Brentwood, CA 94513","$565,054",2,2,"1,542",No Data,Townhouse,$366,No Data,Neighborhood: 94513,,,
"1552 Spumante Ln,","Brentwood, CA 94513","$593,295",2,2,"1,542",No Data,Townhouse,$385,No Data,Neighborhood: 94513,,,
"1463 Majestic Ln,","Brentwood, CA 94513","$812,237",6,4,"3,439","Garage, Garage - Attached, Covered",Single Family,"7,361 sqft",2002,Neighborhood: 94513,388 days,842,9
"867 Larkspur Ln,","Brentwood, CA 94513","$643,907",4,3,"2,770","Garage, Garage - Attached",Single Family,"5,719 sqft",2004,Neighborhood: 94513,383 days,626,9
"130 Grand View Ave,","San Francisco, CA 94114","$1,995,000",4,--,"3,353",Carport,Multiple Occupancy,$595,1961,Neighborhood: Clarendon Heights,89 days,744,19
"451A Sanchez St,","San Francisco, CA 94114","$1,349,000",2,2,"1,318",$400/mo,Condo,"$1,024",1900,Neighborhood: Mission Dolores,86 days,"1,550",63
"3737 22nd St,","San Francisco, CA 94114","$2,100,000",3,2.25,"2,154","2,848 sqft",Single Family,$975,1908,Neighborhood: Dolores Heights,79 days,"2,937",48
"471 Duboce Ave,","San Francisco, CA 94114","$1,495,000",2,2.5,"1,196",None,Condo,"$1,250",1900,Neighborhood: Duboce Triangle,81 days,"1,425",50
"1279 Sanchez St,","San Francisco, CA 94114","$2,149,000",3,2,"1,840","1,947 sqft",Single Family,"$1,168",1890,Neighborhood: Noe Valley,78 days,"2,077",55
"3747 17th St,","San Francisco, CA 94114","$2,450,000",6,6,"4,300","3,480 sqft",Single Family,$570,1923,Neighborhood: Mission Dolores,128 days,"2,000",33
"1164 Church St,","San Francisco, CA 94114","$3,145,500",5,4.5,"2,956","2,996 sqft",Single Family,"$1,064",1900,Neighborhood: Noe Valley,215 days,"1,822",31
"267 Clipper St,","San Francisco, CA 94114","$4,190,000",4,3.5,"3,023","2,792 sqft",Single Family,"$1,386",1900,Neighborhood: Noe Valley,149 days,"1,889",61
"67-69 Belcher St,","San Francisco, CA 94114","$10,000,000",0.287 Acres,,0.287 Acres,"Garage - Attached, Covered",Vacant Land,$527,1919,Neighborhood: Duboce Triangle,154 days,"6,017",100
"57 Walter St,","San Francisco, CA 94114","$1,895,000",4,2,"2,112",Garage - Attached,Multiple Occupancy,$897,1900,Neighborhood: Duboce Triangle,125 days,"1,937",55
"132 Corbett Ave,","San Francisco, CA 94114","$2,290,000",4,3,"1,850","3,057 sqft",Single Family,"$1,238",1915,Neighborhood: Eureka Valley,127 days,"2,151",73
"4054 18th St,","San Francisco, CA 94114","$1,199,900",3,1,"1,582",$500/mo,Condo,$758,1901,Neighborhood: Castro,85 days,"2,181",90
"3221-3223 Market St,","San Francisco, CA 94114","$1,495,000",6,3,"1,670","Garage - Attached, Covered",Multiple Occupancy,$895,1908,Neighborhood: Eureka Valley,85 days,"2,646",63
"466 Elizabeth St,","San Francisco, CA 94114","$2,395,000",5,4.5,"5,400","2,962 sqft",Single Family,$444,1900,Neighborhood: Noe Valley,95 days,"2,065",29
"595 Clipper St,","San Francisco, CA 94114","$2,490,000",4,3,"2,309","2,735 sqft",Single Family,"$1,078",1921,Neighborhood: Noe Valley,184 days,"2,820",89
"95 Hancock St,","San Francisco, CA 94114","$1,195,000",2,2,"1,101",$300/mo,Condo,"$1,085",1905,Neighborhood: Dolores Heights,73 days,"2,372",84
"183-185 Villa Ter,","San Francisco, CA 94114","$1,695,000",4,4,"2,416",0 spaces,Multiple Occupancy,$702,1976,Neighborhood: Clarendon Heights,71 days,"3,417",132
"226 Palo Alto Ave,","San Francisco, CA 94114","$4,895,000",3,3.5,"3,375","3,249 sqft",Single Family,"$1,450",1964,Neighborhood: Clarendon Heights,75 days,"2,621",102
"150 Glenbrook Ave,","San Francisco, CA 94114","$19,950,000",6,7.5,"7,440","5,270 sqft",Single Family,"$2,681",2018,Neighborhood: Clarendon Heights,114 days,"19,087",539
